City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,carnarvon,-24.8667,113.6333,21.46,56,0,3.03,AU,1693058983
160,akureyri,65.6835,-18.0878,19.55,73,100,4.87,IS,1693058832
161,tshela,-4.9833,12.9333,29.38,54,95,2.27,CD,1693058991
162,praia da vitoria,38.7333,-27.0667,22.97,80,22,8.39,PT,1693058992
163,scarborough,54.2797,-0.4044,16.63,77,100,2.24,GB,1693058993
164,starokostiantyniv,49.7576,27.2034,33.53,29,3,7.2,UA,1693058993
165,den burg,53.0542,4.7972,19.99,84,75,5.14,NL,1693059011
166,vila franca do campo,37.7167,-25.4333,24.23,74,93,7.02,PT,1693059013
167,n'zeto,-7.2312,12.8666,24.59,76,7,4.9,AO,1693059016
168,sadao,6.6388,100.4234,27.01,92,7,1.54,TH,1693059017
169,mejit,10.2753,170.8646,27.68,81,100,7.14,MH,1693059017
170,touros,-5.1989,-35.4608,29.14,66,43,4.85,BR,1693059018
171,minas de marcona,-15.2119,-75.1103,14.27,74,53,4.67,PE,1693059019
172,atafu village,-8.5421,-172.5159,27.73,79,92,5.34,TK,1693059021
173,tolanaro,-25.0319,46.9987,23.73,74,0,8.98,MG,1693059022
174,dakhla,23.6848,-15.958,24.49,71,11,6.25,EH,1693059022
175,suntar,62.1444,117.6319,15.45,64,100,1.71,RU,1693059023
176,tughyl,47.7252,84.2063,20.93,64,53,1.89,KZ,1693059024
177,kidal,18.4411,1.4078,38.44,25,70,5.27,ML,1693059024
178,tobruk,32.0836,23.9764,28.56,63,0,5.79,LY,1693059025
179,osakarovka,50.565,72.5692,19.76,33,85,1.37,KZ,1693059026
180,longyearbyen,78.2186,15.6401,8.91,81,75,7.2,SJ,1693059026
181,walvis bay,-22.9575,14.5053,14.49,62,23,5.89,NA,1693059027
182,lompoc,34.6391,-120.4579,16.96,94,100,2.06,US,1693059027
183,dundaga,57.5167,22.35,17.72,98,100,1.93,LV,1693059028
184,winnipeg,49.8844,-97.147,15.01,90,75,1.03,CA,1693058776
185,constantia,44.1833,28.65,30.39,61,0,5.42,RO,1693059030
186,kavaratti,10.5669,72.642,27.53,78,58,2.58,IN,1693058978
187,pisco,-13.7,-76.2167,20.03,77,100,2.06,PE,1693059031
188,invercargill,-46.4,168.35,6.68,77,75,5.81,NZ,1693059033
189,luderitz,-26.6481,15.1594,21.05,37,0,9.62,NA,1693059033
190,pizarro,4.9533,-77.366,27.73,77,88,0.85,CO,1693059034
191,kailua-kona,19.6406,-155.9956,23.98,83,100,3.6,US,1693059035
192,anadyr,64.75,177.4833,0.28,93,0,1.0,RU,1693059036
193,huarmey,-10.0681,-78.1522,20.58,79,64,3.13,PE,1693059036
194,tucuma,-0.1833,-50.05,31.79,54,31,2.72,BR,1693059037
195,tainan,22.9908,120.2133,27.71,83,75,2.06,TW,1693059038
196,linhares,-19.3911,-40.0722,28.37,58,82,5.01,BR,1693059039
197,codrington,-38.2667,141.9667,9.87,79,100,3.12,AU,1693059039
198,sao gabriel da cachoeira,-0.1303,-67.0892,32.19,52,16,0.97,BR,1693059040
199,kokoda,-8.8785,147.7407,23.08,99,100,0.52,PG,1693059041
200,pozoblanco,38.3791,-4.8483,34.07,18,100,7.13,ES,1693059041
201,gadzhiyevo,69.2551,33.3362,11.58,75,77,4.57,RU,1693058756
202,kuraymah,18.55,31.85,45.28,11,5,3.48,SD,1693059042
203,sinabang,2.4803,96.3801,24.96,83,100,1.95,ID,1693059043
204,nyala,12.05,24.8833,29.26,52,100,4.06,SD,1693059044
205,filey,54.21,-0.2892,18.82,79,100,2.24,GB,1693059044
206,hamilton,39.1834,-84.5333,25.67,91,100,3.09,US,1693059045
207,atar,20.5169,-13.0499,43.22,12,6,5.84,MR,1693059046
208,ketchikan,55.3422,-131.6461,17.26,72,0,3.09,US,1693058769
209,inarajan village,13.2736,144.7484,27.54,91,100,10.09,GU,1693059047
210,toliara,-23.35,43.6667,25.43,65,0,3.17,MG,1693059047
211,zhaoqing,23.0512,112.4597,29.9,91,100,1.26,CN,1693059048
212,taksimo,56.3444,114.8794,15.34,74,56,0.86,RU,1693059049
213,kodiak,57.79,-152.4072,12.73,100,100,3.09,US,1693059049
214,tadine,-21.55,167.8833,18.9,70,13,7.28,NC,1693059050
215,pauini,-7.7136,-66.9764,35.67,36,4,0.52,BR,1693059051
216,loshnitsa,54.2789,28.7639,26.1,49,93,3.54,BY,1693059051
217,takoradi,4.8845,-1.7554,26.22,82,69,6.0,GH,1693059052
218,saipan,15.1355,145.701,27.58,100,20,2.57,MP,1693059053
219,suva,-18.1416,178.4415,20.71,88,75,2.06,FJ,1693059053
220,tabora,-5.0167,32.8,34.18,16,98,2.16,TZ,1693059054
221,conduaga,8.862,117.4893,26.69,87,100,2.61,PH,1693059055
222,inhambane,-23.865,35.3833,28.6,55,11,7.39,MZ,1693059055
223,haiku-pauwela,20.9219,-156.3051,23.91,73,100,4.63,US,1693059056
224,bredasdorp,-34.5322,20.0403,13.0,55,99,4.86,ZA,1693059056
225,thunder bay,48.4001,-89.3168,14.73,61,2,2.85,CA,1693058994
226,tazacorte,28.629,-17.9293,27.54,78,20,3.09,ES,1693059058
227,corner brook,48.9667,-57.9484,18.4,64,100,3.69,CA,1693058838
228,port macquarie,-31.4333,152.9167,10.5,86,39,1.42,AU,1693059059
229,xinyuan,37.3,99.0,3.52,94,90,2.2,CN,1693059060
230,hilo,19.7297,-155.09,21.85,94,100,2.57,US,1693058949
231,carutapera,-1.195,-46.02,30.57,62,54,3.72,BR,1693059062
232,igarka,67.4667,86.5833,9.1,92,16,4.41,RU,1693059062
233,queenstown,-31.8976,26.8753,10.04,33,14,8.39,ZA,1693059063
234,garango,11.8,-0.5506,28.36,69,100,3.42,BF,1693059063
235,gisborne,-38.6533,178.0042,6.82,92,16,2.51,NZ,1693059064
236,argo,37.6333,22.7333,33.21,27,39,4.32,GR,1693059065
237,burang,30.25,81.1667,9.59,78,62,2.93,CN,1693059066
238,funafuti,-8.5243,179.1942,28.24,74,94,3.42,TV,1693059066
239,hami,42.8,93.45,29.26,18,1,1.07,CN,1693059067
240,arambagh,22.8833,87.7833,27.44,85,100,3.42,IN,1693059068
241,xiaoweizhai,26.1903,107.5125,22.82,98,100,1.81,CN,1693059069
242,ilulissat,69.2167,-51.1,9.01,81,75,3.6,GL,1693059069
243,harstad,68.799,16.5293,20.66,78,85,0.89,NO,1693059070
244,howard springs,-12.497,131.047,21.95,73,87,2.33,AU,1693059071
245,ingeniero guillermo n. juarez,-23.9,-61.85,20.57,25,0,5.14,AR,1693059071
246,kolasib,24.2333,92.7,22.89,99,100,1.41,IN,1693059072
247,ts'nori,41.6209,45.9694,28.48,42,28,5.57,GE,1693059073
